x_km,bathy,topo
30.8,-656.265584389418,-519.118540226973
30.9,-656.112057368421,-513.570096774913
31,-655.958530347424,-508.021653322854
31.1,-655.805003326428,-502.473209870795
31.2,-655.651476305431,-504.104269501863
31.3,-655.497949284434,-506.472279508427
31.4,-655.490753333465,-508.840289514992
31.5,-656.803236212213,-511.208299521557
31.6,-658.11571909096,-516.968190221215
31.7,-659.428201969708,-523.118505769123
31.8,-660.740684848456,-529.26882131703
31.9,-662.053167727203,-529.310411960979
32,-663.365650605951,-514.224526961173
32.1,-664.678133484699,-499.138641961366
32.2,-665.990616363447,-492.708168103079
32.3,-667.303099242194,-495.633261871547
32.4,-668.615582120942,-498.558355640014
32.5,-669.92806499969,-501.483449408482
32.6,-670.205736819531,-502.346221313519
32.7,-670.330751679485,-502.904756243827
32.8,-670.45576653944,-503.463291174135
32.9,-670.580781399394,-504.021826104443
33,-670.705796259349,-504.580361034751
33.1,-670.830811119304,-506.079594224177
33.2,-670.955825979258,-510.294776704421
33.3,-671.080840839213,-514.509959184665
33.4,-670.968767205051,-518.725141664908
33.5,-670.815240184054,-523.608742132853
33.6,-670.661713163057,-530.528712878126
33.7,-670.50818614206,-537.448683623399
33.8,-670.354659121063,-544.464464464489
33.9,-670.201132100066,-553.840001791825
34,-670.047605079069,-563.21553911916
34.1,-669.894078058072,-572.591076446496
34.2,-669.740551037076,-558.269801643331
34.3,-669.587024016079,-523.797687532625
34.4,-669.433496995082,-527.748988230915
34.5,-669.279969974085,-531.700288929204
34.6,-669.126442953088,-526.446584277908
34.7,-668.972915932091,-519.182909243147
34.8,-668.880184072291,-511.919234208386
34.9,-668.873258041269,-512.604474813315
35,-668.866332010246,-518.314987391299
35.1,-668.859405979224,-522.639890320612
35.2,-668.852479948201,-521.643407607261
35.3,-668.845553917179,-520.646924893911
35.4,-668.838627886156,-519.650442180561
35.5,-668.831701855134,-518.65395946721
35.6,-668.824775824112,-517.65747675386
35.7,-668.817849793089,-516.66099404051
35.8,-668.810923762067,-501.251071578062
35.9,-668.803997731045,-482.018472861839
36,-668.797071700022,-462.785874145617
36.1,-668.77647967943,-455.53837256649
36.2,-668.694158853564,-448.494599016691
36.3,-668.611838027697,-441.450825466892
